,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,created_at,retweets,replies,likes,quote_count,place_id,author_id,username,author_followers,author_tweets,author_description,author_location,city_name,object,country,UserPlase_longitude,UserPlase_latitude,UserPlase_sub_longitude,UserPlase_sub_latitude,code,estimate_code,Geo_Flag_multi,bun
0,5,5,1211,成田(千葉県) 02:00の気温 22.5℃ 南南東の風3m/s,2022-07-10_02:21:14,0.0,0.0,0.0,0,4b03568897fabffa,1953219882,amds_naritaChib,80.0,87827,成田の気温をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,成田国際空港,千葉 成田市,city,日本,140.250167,35.723249,140.47263,35.902285,5340,5340,2,['成田千葉県']
1,14,14,1046,新潟(新潟県) 03:00の気温湿度 24.1℃ 95%RH (0.01801kg/kg(DA) 102%~23℃) 東の風1.4m/s,2022-07-03_03:21:59,0.0,0.0,0.0,0,758b6df2b431ecfe,473610329,amds_niigataNii,72.0,103859,新潟の気温湿度、それに絶対湿度をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,Niigata JAPAN,新潟 新潟市 中央区,city,日本,139.005585005187,37.8699360014391,139.098019002981,37.9460940015664,5639,5639,2,['新潟新潟県']
2,24,24,693,7月5日 #自民党 立候補者 #末松信介 街頭演説（加古川駅南口）その2#参院選 #参院選2022 #兵庫県選挙区 #加古川市 https://t.co/TkvzcPTLcI,2022-07-08_02:32:19,0.0,1.0,0.0,0,943e2c6ef53094db,4757870384,1501ritty,390.0,14812,行政と選挙に関心を持ち、地図や自転車も駆使しながら細々と勉強中。選挙ウォッチ・クラスタの端くれ。現在はほぼ無党派。 京アニ放火事件を機に、アニメ実況も少しずつ再開。,日本国 兵庫県 加古川市,兵庫 加古川市,city,日本,134.763345,34.698163,134.934906,34.86726,5234,5234,2,['兵庫県選挙区加古川市']
4,43,43,317,家族揃って仲良くして下さってる十和田市で唯一のボクシングジムの会長さん（実はこの方めちゃくちゃすごい人）が青森が誇る今が旬なアーティストGOMAさんとコラボ！！！なぜこのツイートバズってないんだ。笑#ボクシング　#GOMA https://t.co/yvQl7vNzzX,2022-07-06_05:55:36,3.0,1.0,12.0,0,2fd9ac36eed134cf,1040784203481141248,chishikiki,172.0,1052,嫁アカウント。『Pulpulfarm＝人と人が繋がる場所』 ー 快適さから一歩引いて少し考えてみる。ちょっと忙しい場所からココロが充電できる空間へ － 2021年〜井戸水・バイオガストイレ・オフグリット生活開始。2022年青森県十和田市から3歳の娘と自転車旅、帰還（断捨離）→香川県小豆島へ11月上旬移住予定。,青森県　十和田市,青森 十和田市,city,日本,140.851246,40.416445,141.304418,40.701665,6040,6040,2,['十和田市青森']
7,231,231,884,おはようございます❗朝5時の金沢市の気温は24℃、天気は晴れ🌥️今日は木曜日❗今日も楽しんでいきましょう😄#金沢市　#気象　#天気 https://t.co/RH9udraxNy,2022-07-21_05:47:26,1.0,1.0,49.0,0,694237d7ee8cea33,1349594970445864962,DaigoAsahina,1672.0,1639,30代男👨妻1子3、会社員🏢年収500万　ドライブ・旅・山・キャンプ好き⛰️登山は生きがい❗不動産投資(空家戸建て再生)、現物株式投資でFIRE目指す😃日々の様子、投資状況発信❗有益情報となるように頑張ります‼️運用額350万円ほど💴どうぞよろしくお願い致します😄YouTube発信中😄,石川 金沢市,石川 金沢市,city,日本,136.556974,36.338161,136.817258,36.674093,5436,5436,2,['金沢市金沢市']
8,244,244,540,I'm at サイバック 中野サンプラザ店 in 中野区 東京都 https://t.co/KYXKBS33HK https://t.co/DKZeYjcRkN,2022-07-17_02:41:41,0.0,1.0,2.0,0,a35b6b4421e1a506,2373730020,outsider_cap,868.0,108285,結婚したい。切実に、 / 写真好きのカメラオタク / 我慢は身体に毒,ゆきさんがいるところ,東京 中野区,city,日本,139.624224,35.676575,139.694277,35.735556,5339,5339,2,['中野区東京都']
10,325,325,824,盛岡(岩手県) 03:00の気温湿度 22.4℃ 95%RH (0.01620kg/kg(DA)  92%~23℃) 北北東の風0.7m/s,2022-07-25_03:20:37,0.0,0.0,0.0,0,d8fe1ca13fadd53a,474451535,amds_moriokaIwa,145.0,103213,盛岡の気温湿度、それに絶対湿度をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,Iwate JAPAN,岩手 盛岡市,city,日本,140.995197,39.563736,141.527445,39.930188,5940,5940,2,['盛岡岩手県']
11,350,350,608,@nonorins 川島智生先生の論文の別表で「帝国信栄本社　T15」とあり、但しこれは神戸地裁の北角、今の兵庫県司法書士会館の建つ場所にあった旧本社の竣工年だった様です。今回の有形文化財登録の評価書では、帝国信栄の営業報告書の記録から昭和初期とした模様です。,2022-07-24_06:55:11,0.0,1.0,2.0,0,4fcc7f54edb660c3,138068761,DocFrankie,371.0,7834,オフタイムは、神戸を中心に「まち・建物の歴史」を追いかけて四半世紀。車も、ジャズも、コーラスも、クラシックだって、嫌いじゃないです。,,兵庫 北区,city,日本,135.061855,34.684211,135.293706,34.890805,5235,5235,3,['北角兵庫県信栄']
12,357,357,112,NAGAIKA Aloha Festivai 2022 | まいぷれ[長岡市] グルメやフラダンス、グッズ販売までハワイを堪能できる2日間、NAGAIKA Aloha Festivai 2022をアオーレ長岡で現在開催中♪お誘い合わせの上、会場へぜひ足をお運びください^_^https://t.co/AZb7HjO0lh,2022-07-02_14:59:29,1.0,0.0,5.0,0,b2c6f315f97da1c5,1290467587067916288,myplnagaoka,1223.0,3907,【長岡市内の店やランチ、美容、ニューオープンなど紹介しているWebサイト📱現在100店舗以上掲載中】ランチやおすすめ情報、イベント情報などこちらでも発信📣｜たまに他愛無い話も｜,👇まいぷれながおかwebサイトはこちらから,新潟 長岡市,city,日本,138.642942,37.176346,139.124427,37.71026,5538,5538,3,['長岡市ハワイアオーレ長岡']
14,403,403,105,I'm at 東横イン 福山駅新幹線南口 in 福山市 広島県 https://t.co/RajA8X6Mwo,2022-07-13_23:59:14,0.0,0.0,0.0,0,658025f3b87efc97,1383069982452445186,6S60ME_C_8_5,50.0,3448,船会社の陸上社員、テリトリーはアジア。                                               なんとなくのANA贔屓、PLT継続3年目。,TOKYOJAPAN,広島 福山市,city,日本,133.210533,34.332373,133.456436,34.712255,5133,5133,2,['南口 in 福山市広島県']
15,452,452,55,旭川であれ北海道に来たからには寿司を食わねばなりません。評判が良い回転寿司屋に午後6時前に着いたらもう満席。30分ほどでテイクアウトを用意してくれるとのことなので注文。寿司ができるまでの間に隣のCOOPでザンギとサッポロクラシックを入手してホテルでの夕食が準備完了。 https://t.co/EcwYLlAUbr,2022-07-19_19:59:45,0.0,0.0,3.0,0,a20769ba633600b5,26662072,kojb045,266.0,24765,Bass Playing football fan supports Yokohama F. Marinos,Yokohama Japan,北海道 旭川市,city,日本,142.14817,43.544382,142.741744,43.955824,6542,6542,2,['旭川北海道']
17,613,613,216,I'm at 秋葉原ラーメン わいず in 千代田区 東京都 https://t.co/yotkKR3Wpe,2022-07-10_15:59:15,0.0,0.0,0.0,0,28b9063fdce43645,2991390323,gen_gatari,1664.0,122657,oh my girls:(@hikaru_tono) (@__yuuuumr__ )(@ayaMiNTgreen) icon:(@tear_u2525) DJ/主催:#声ハモ Contact:DM🎧 / game:@VALORANTjp,声優HarmoniX. 熊本→神奈川 家系,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,5339,3,['秋葉原千代田区東京都']
18,636,636,930,前は上郷SAじゃなかったっけ (@ 豊田上郷SA (下り) in 豊田市 愛知県) https://t.co/42WWWYyQnj,2022-07-08_08:53:28,0.0,0.0,0.0,0,c2599e59e5a977d8,128188787,yume_cypha0718,276.0,41732,いま走り出せば…,神奈 相模原市 南区,愛知 豊田市,city,日本,137.040008,34.990489,137.581705,35.291232,5237,5237,2,['豊田市愛知県']
19,646,646,974,久米島(沖縄県) 03:00の気温湿度 29.2℃ 87%RH (0.02242kg/kg(DA) 126%~23℃) 西南西の風1.2m/s,2022-07-24_03:21:02,0.0,0.0,0.0,0,dbbd1067b8dad56f,509569469,amds_kumejimaOk,162.0,103025,久米島の気温湿度、それに絶対湿度をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,Kumejima JAPAN,沖縄 久米島町,city,日本,126.707865,26.290674,126.842874,26.39149,3926,3926,2,['久米島沖縄県']
20,691,691,904,富山方面各停待ち (@ 魚津駅 in 魚津市 富山県) https://t.co/U8ZDRxwcDv,2022-07-13_16:53:36,0.0,0.0,0.0,0,3a3fc17113c4fd14,124195156,martin_wolves,202.0,18132,人狼各国にお邪魔しているmartin(マーチン)です。,薔薇の下か議事が多いかな,富山 魚津市,city,日本,137.382101,36.67223,137.611443,36.860834,5537,5537,2,['富山魚津市 富山県']
21,692,692,946,うおおおおおおおおお(^_^;) (@ ラウンドワンスタジアム 新潟店 - @r1_niigata in 新潟市 新潟県) https://t.co/iTBE0u1hyi,2022-07-30_09:55:40,0.0,0.0,2.0,0,758b6df2b431ecfe,1201441128282652678,asdf_dbhr,360.0,8579,日々是鍛錬、でぃーんメソッド💪💪💪…　食べ歩き、競馬🏇、サイクリング、筋トレ、日帰り温泉、ファンスキー、ソロキャンプ、腕時計、お料理、ウイスキー、お買い物、ライフハック💖、ぐでたま(´⌓`)　#で競馬,ゴセンシティ　ポケモンジム,新潟 新潟市 中央区,city,日本,139.005585005187,37.8699360014391,139.098019002981,37.9460940015664,5639,5639,2,['niigata in 新潟市新潟県']
22,710,710,349,スパイスカレー　ゴカルナ（沖縄・那覇）に写真を投稿しましたhttps://t.co/BHDqyfCYZ2,2022-07-31_17:58:35,0.0,0.0,1.0,0,853d93b16aeee55c,70594358,gokarna_masa,1023.0,3281,🍛創業2011年🌈沖縄・那覇高校前の👳🏾カレー専門店です💯お弁当🍱もOK❗️WEBショップ🍛やってます‼️11:30-16:00🍛売切れ次第終了🏄不定休🏄スタッフ募集中👍🏼,沖縄県那覇市楚辺１-１-２,沖縄 那覇市,city,日本,127.636449,26.176404,127.73876,26.246129,3927,3927,2,['沖縄那覇']
