,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,created_at,retweets,replies,likes,quote_count,place_id,author_id,username,author_followers,author_tweets,author_description,author_location,city_name,object,country,UserPlase_longitude,UserPlase_latitude,UserPlase_sub_longitude,UserPlase_sub_latitude,code,estimate_code,Geo_Flag_multi,bun
0,5,5,1211,成田(千葉県) 02:00の気温 22.5℃ 南南東の風3m/s,2022-07-10_02:21:14,0.0,0.0,0.0,0,4b03568897fabffa,1953219882,amds_naritaChib,80.0,87827,成田の気温をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,成田国際空港,千葉 成田市,city,日本,140.250167,35.723249,140.47263,35.902285,5340,5340,2,['成田千葉県']
1,14,14,1046,新潟(新潟県) 03:00の気温湿度 24.1℃ 95%RH (0.01801kg/kg(DA) 102%~23℃) 東の風1.4m/s,2022-07-03_03:21:59,0.0,0.0,0.0,0,758b6df2b431ecfe,473610329,amds_niigataNii,72.0,103859,新潟の気温湿度、それに絶対湿度をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,Niigata JAPAN,新潟 新潟市 中央区,city,日本,139.005585005187,37.8699360014391,139.098019002981,37.9460940015664,5639,5639,2,['新潟新潟県']
2,24,24,693,7月5日 #自民党 立候補者 #末松信介 街頭演説（加古川駅南口）その2#参院選 #参院選2022 #兵庫県選挙区 #加古川市 https://t.co/TkvzcPTLcI,2022-07-08_02:32:19,0.0,1.0,0.0,0,943e2c6ef53094db,4757870384,1501ritty,390.0,14812,行政と選挙に関心を持ち、地図や自転車も駆使しながら細々と勉強中。選挙ウォッチ・クラスタの端くれ。現在はほぼ無党派。 京アニ放火事件を機に、アニメ実況も少しずつ再開。,日本国 兵庫県 加古川市,兵庫 加古川市,city,日本,134.763345,34.698163,134.934906,34.86726,5234,5234,2,['兵庫県選挙区加古川市']
3,34,34,1194,高速道路走行中桜島がレベル5の噴火が起きたらしい今は宮崎県いるけど心配だ,2022-07-24_21:55:08,0.0,0.0,2.0,0,9c8a9b571021793c,92759334,bekko_ame,1985.0,23855,街を歩く(350都市中心部・商店街ほぼ制覇) // 日本の全ての繁華街の写真を網羅したサイト制作中 // 廃街廃駅廃線 // ネオン// 夜衝 // 鉄道乗りつぶし100%,Tokyo Japan,宮崎 都城市,city,日本,130.87421,31.620098,131.254436,31.944976,4730,4731,2,['桜島宮崎県']
4,43,43,317,家族揃って仲良くして下さってる十和田市で唯一のボクシングジムの会長さん（実はこの方めちゃくちゃすごい人）が青森が誇る今が旬なアーティストGOMAさんとコラボ！！！なぜこのツイートバズってないんだ。笑#ボクシング　#GOMA https://t.co/yvQl7vNzzX,2022-07-06_05:55:36,3.0,1.0,12.0,0,2fd9ac36eed134cf,1040784203481141248,chishikiki,172.0,1052,嫁アカウント。『Pulpulfarm＝人と人が繋がる場所』 ー 快適さから一歩引いて少し考えてみる。ちょっと忙しい場所からココロが充電できる空間へ － 2021年〜井戸水・バイオガストイレ・オフグリット生活開始。2022年青森県十和田市から3歳の娘と自転車旅、帰還（断捨離）→香川県小豆島へ11月上旬移住予定。,青森県　十和田市,青森 十和田市,city,日本,140.851246,40.416445,141.304418,40.701665,6040,6040,2,['十和田市青森']
5,170,170,914,9時過ぎには着くわww帰る道中に神戸、大阪、京都挟んでるの改めて見るとやばいなww https://t.co/TX2uY9Ry0d,2022-07-03_05:47:10,0.0,0.0,1.0,0,ef5801a1b50742a9,1422402496467664896,tky_expedition,201.0,16625,胸を張れる貴女のファンで居たい 神薙ラビッツ 七燐鈴 @kannagi_narisu #鈴の人 #鎖の人 #団扇の人 #パネルの人 2022.08.28 夏フェス 『知行合一#3 』 Veats shibuya 優先エリア一人貸切 ※固ツイ参照,長野県,広島 広島市 中区,city,日本,132.424255995202,34.3528589947015,132.473647993795,34.4185420047083,5132,5235,2,['神戸大阪']
6,221,221,1182,会社でシャワー浴びて小牧の営業所で積み足して翌日、山梨と八王子🚛💨 https://t.co/1ZZWOc4ccr,2022-07-28_16:51:45,0.0,0.0,0.0,0,d60a73fc3dca5f72,1542454827216535552,TVrhDIelCTs9fat,19.0,159,三重住み 長距離ドライバー 冷凍車乗り　釣り好き  石鯛釣り　アトミックスライダーフィールドスタッフ　よく飲みよく食べよく走る Twitter初心者,,三重 松阪市,city,日本,136.068925,34.313294,136.616692,34.651402,5136,5338,2,['小牧山梨']
7,231,231,884,おはようございます❗朝5時の金沢市の気温は24℃、天気は晴れ🌥️今日は木曜日❗今日も楽しんでいきましょう😄#金沢市　#気象　#天気 https://t.co/RH9udraxNy,2022-07-21_05:47:26,1.0,1.0,49.0,0,694237d7ee8cea33,1349594970445864962,DaigoAsahina,1672.0,1639,30代男👨妻1子3、会社員🏢年収500万　ドライブ・旅・山・キャンプ好き⛰️登山は生きがい❗不動産投資(空家戸建て再生)、現物株式投資でFIRE目指す😃日々の様子、投資状況発信❗有益情報となるように頑張ります‼️運用額350万円ほど💴どうぞよろしくお願い致します😄YouTube発信中😄,石川 金沢市,石川 金沢市,city,日本,136.556974,36.338161,136.817258,36.674093,5436,5436,2,['金沢市金沢市']
8,244,244,540,I'm at サイバック 中野サンプラザ店 in 中野区 東京都 https://t.co/KYXKBS33HK https://t.co/DKZeYjcRkN,2022-07-17_02:41:41,0.0,1.0,2.0,0,a35b6b4421e1a506,2373730020,outsider_cap,868.0,108285,結婚したい。切実に、 / 写真好きのカメラオタク / 我慢は身体に毒,ゆきさんがいるところ,東京 中野区,city,日本,139.624224,35.676575,139.694277,35.735556,5339,5339,2,['中野区東京都']
9,261,261,321,安倍元総理の暗殺事件、犯人の思想や背後関係は定かかではないが、日本ぐらいスパイに対する対応が甘い国は無い。ロシアのFSB（連邦保安庁・旧KGB）、アメリカCIA、その他北朝鮮、中国、それ以外の国による諜報活動はかなりのもの。日本の公安や内閣調査室は、かなり弱いのではないか？,2022-07-08_21:58:35,0.0,1.0,4.0,0,876947df3a9be701,1425612926983888906,puqTsLTmf3qKdXN,318.0,1218,,日本 大阪,大阪 大阪市 城東区,city,日本,135.539155999621,34.6753649953829,135.570435003006,34.7118570015516,5235,5030,4,['ロシア北朝鮮中国日本']
10,325,325,824,盛岡(岩手県) 03:00の気温湿度 22.4℃ 95%RH (0.01620kg/kg(DA)  92%~23℃) 北北東の風0.7m/s,2022-07-25_03:20:37,0.0,0.0,0.0,0,d8fe1ca13fadd53a,474451535,amds_moriokaIwa,145.0,103213,盛岡の気温湿度、それに絶対湿度をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。,Iwate JAPAN,岩手 盛岡市,city,日本,140.995197,39.563736,141.527445,39.930188,5940,5940,2,['盛岡岩手県']
11,350,350,608,@nonorins 川島智生先生の論文の別表で「帝国信栄本社　T15」とあり、但しこれは神戸地裁の北角、今の兵庫県司法書士会館の建つ場所にあった旧本社の竣工年だった様です。今回の有形文化財登録の評価書では、帝国信栄の営業報告書の記録から昭和初期とした模様です。,2022-07-24_06:55:11,0.0,1.0,2.0,0,4fcc7f54edb660c3,138068761,DocFrankie,371.0,7834,オフタイムは、神戸を中心に「まち・建物の歴史」を追いかけて四半世紀。車も、ジャズも、コーラスも、クラシックだって、嫌いじゃないです。,,兵庫 北区,city,日本,135.061855,34.684211,135.293706,34.890805,5235,5235,3,['北角兵庫県信栄']
12,357,357,112,NAGAIKA Aloha Festivai 2022 | まいぷれ[長岡市] グルメやフラダンス、グッズ販売までハワイを堪能できる2日間、NAGAIKA Aloha Festivai 2022をアオーレ長岡で現在開催中♪お誘い合わせの上、会場へぜひ足をお運びください^_^https://t.co/AZb7HjO0lh,2022-07-02_14:59:29,1.0,0.0,5.0,0,b2c6f315f97da1c5,1290467587067916288,myplnagaoka,1223.0,3907,【長岡市内の店やランチ、美容、ニューオープンなど紹介しているWebサイト📱現在100店舗以上掲載中】ランチやおすすめ情報、イベント情報などこちらでも発信📣｜たまに他愛無い話も｜,👇まいぷれながおかwebサイトはこちらから,新潟 長岡市,city,日本,138.642942,37.176346,139.124427,37.71026,5538,5538,3,['長岡市ハワイアオーレ長岡']
13,360,360,1284,@tori_dsdc 鳥飼さんライブとっても良かったです、フルアルバムで最高、六本松２回と去年ビートステーションと４回目の参戦でした、あっ😅谷さんに六本松のときサインを貰って、今度のライブでCDをもってきたらサインをしてくれるって！約束してくれたもので、友達が積極的に谷さんにお声をかけてくれて https://t.co/DSUTjAs8Dl,2022-07-02_02:21:14,0.0,0.0,0.0,0,ae083492b529328a,1356570814154305541,sNy8qQCDyft3x6W,36.0,535,naonao,,福岡 福岡市 早良区,city,日本,130.273605994636,33.4238889992978,130.40377299617,33.5968889993354,5030,5136,2,['鳥飼六本松']
14,403,403,105,I'm at 東横イン 福山駅新幹線南口 in 福山市 広島県 https://t.co/RajA8X6Mwo,2022-07-13_23:59:14,0.0,0.0,0.0,0,658025f3b87efc97,1383069982452445186,6S60ME_C_8_5,50.0,3448,船会社の陸上社員、テリトリーはアジア。                                               なんとなくのANA贔屓、PLT継続3年目。,TOKYOJAPAN,広島 福山市,city,日本,133.210533,34.332373,133.456436,34.712255,5133,5133,2,['南口 in 福山市広島県']
15,452,452,55,旭川であれ北海道に来たからには寿司を食わねばなりません。評判が良い回転寿司屋に午後6時前に着いたらもう満席。30分ほどでテイクアウトを用意してくれるとのことなので注文。寿司ができるまでの間に隣のCOOPでザンギとサッポロクラシックを入手してホテルでの夕食が準備完了。 https://t.co/EcwYLlAUbr,2022-07-19_19:59:45,0.0,0.0,3.0,0,a20769ba633600b5,26662072,kojb045,266.0,24765,Bass Playing football fan supports Yokohama F. Marinos,Yokohama Japan,北海道 旭川市,city,日本,142.14817,43.544382,142.741744,43.955824,6542,6542,2,['旭川北海道']
