,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,created_at,retweets,replies,likes,quote_count,place_id,author_id,username,author_followers,author_tweets,author_description,author_location,city_name,object,country,UserPlase_longitude,UserPlase_latitude,UserPlase_sub_longitude,UserPlase_sub_latitude,code_nation,Tokyo_code,Tokyo_estimete_code,Geo_Flag_multi
285,285,285,804670,132,アリーナで今池の文字を見てるとウェルビー行きたくなるなー、今年中に絶対もう一回行く😤,2022-07-24_19:59:34,0.0,0.0,1.0,0,27b43920b8b63188,196511922,DJ_MURTON,163.0,8581,やきう好き(NPB/MLB)でダーツとたまにビーマニおじさんのアカウント。ダーツライブ→妖怪CC★サバシアビーマニ→DJ JUDGE.もしくはDJ A-ROD亀戸～大島～津田沼～葛西にゆかりがあります,東京江戸川区,東京 墨田区,city,日本,139.788729,35.686697,139.842361,35.743565,5339,533946,533945,2
289,289,289,745789,29,ツイートに同意してるなら同じことリプライと引用両方しなくてもいいのよ。ウザいから。タコ殴りにするならリプライと引用で挟み討ちでもいいけど。#何か見た,2022-07-23_01:59:13,0.0,0.0,0.0,0,f7c22e0cf7b3af2b,102501887,OkazakiMiai,986.0,171109,自称「10うん年目のにわか奈々ヲタ」時折音楽アニメ語り（ラブライブとバンドリ、パリピ孔明）ゆきすと、無党派林檎使い青組、観音教、三本音叉派、ハートマーク乗り。アナスタシア、楓、蘭子ドール担当P。ヒコーキ写真→ https://t.co/7j1zU4k3Ng,,東京 渋谷区,city,日本,139.661368,35.641564,139.723884,35.692138,5339,533935,533945,2
453,453,453,668560,465,日本养宠物可要罚款的退租要交1w多人民币,2022-07-20_18:57:43,0.0,0.0,0.0,0,86315f8740971686,1414855658835378177,meitiandouhene,28.0,162,毎日 真剣に体を鍛えている！🇨🇳 中大国際経営学部 日本語N1 117 真的好想聊天 但自己永远无法开那个头！！！为什么是个怂狗！,中央大学,東京 八王子市,city,日本,139.161531,35.597798,139.43004,35.718529,5339,533931,533945,2
497,497,497,421234,582,広島、秋山翔梧選手。君はメジャーで日本から見れば大金を手にしたんだろう？そんな君が野球に対してどれだけハングリーになれるか皆注目しているよ☺️,2022-07-13_10:55:01,0.0,0.0,0.0,0,faab662cb34cf04f,1252219588961431552,FJZvBFmm5Qkj31j,16.0,894,はじめまして。とし坊と申します。宜しくお願いします。,,東京 杉並区,city,日本,139.585064,35.665879,139.667527,35.730446,5339,533934,533945,2
508,508,508,931505,1,調布市のネズミ男#tokyo#東京#photo#写真#日本#アジア#japan#asia#夜#夜景#night#nightview#公園#公園遊具#夜光性静物#art#artist#works#ネズミ男#鬼太郎#instagood#photooftheday#picoftoday#picture#japanofinsta#japandaytimeviewhttps://t.co/9ngSPNIj0i,2022-07-28_13:59:58,4.0,0.0,11.0,0,98accfc3c0a403d3,36994788,akya0414,712.0,6274,写真家。東京工芸大学大学院博士課程修了。博士(芸術学)。日本写真家協会、日本写真協会、日本美術家連盟所属。東京展会員・運営委員・事務局長補佐。富士フォトサロン新人賞2007、フォックスタルボット賞第２席、第44回東京展優秀賞など受賞。仕事依頼などはこちらへ→mail@akya.jp 趣味は@Akyajp,東京都,東京 東大和市,city,日本,139.392945,35.729878,139.451884,35.769409,5339,533943,533934,2
541,541,541,436389,365,ボツネタラジオファミリーの皆様、8月末のアガリスクの公演、観に来るのです！👫一般席前田窓口前田を選択してねhttps://t.co/ISinHgxfo6,2022-07-13_21:58:12,1.0,0.0,0.0,1,a35b6b4421e1a506,114456336,s06089yuriyuri,2175.0,68028,難波のパワー系コメディエンヌ。ハイボールとラジオ好き。#99ann アガリスクエンターテイメントの劇団員。 #ボツネタラジオ のパーソナリティ。【次回出演】カカフカカ企画の二本立て！詳細は固定ツイートへ！🎟 https://t.co/kjFM45tceZ欲しいものリスト👉https://t.co/9iPUsjLolx,東京,東京 中野区,city,日本,139.624224,35.676575,139.694277,35.735556,5339,533944,533945,2
656,656,656,212809,869,I'mat都筑ICin横浜市神奈川県https://t.co/CzaPkCKy6h,2022-07-07_06:53:01,0.0,0.0,0.0,0,1ea0fd1a31366833,448528374,1_tks,4.0,63341,,,神奈 横浜市 都筑区,city,日本,139.543097000973,35.5079560026456,139.616102000592,35.5667530045683,5339,533924,533915,2
698,698,698,219829,886,そもそも、ロシアや中国からの攻撃を想定するとしたら、そこに対抗する為の軍備を整えたらいくらお金があっても足りないだろ。軍備に金使って国の守りを整えて国民が貧乏になる事が良いこととはとても思えない。,2022-07-07_11:54:08,0.0,1.0,9.0,1,f72cbd7b378a05fc,88575194,AkiHatsushika,10842.0,5369,2020年10月26日まで衆議院議員してました。昨年の衆院選に出馬せず、現在は素浪人です。他の政治家が取り上げない小さな声、声の出せない方々の声を政治に届けるべく、捲土重来を期して頑張ります。,東京都江戸川区,東京 葛飾区,city,日本,139.813216,35.710674,139.894671,35.797245,5339,533946,533945,2
714,714,714,424358,961,自分八王子大倉店行こうと思います。8月に多摩と藤沢行く予定,2022-07-13_12:54:41,0.0,0.0,0.0,0,e711a8fc9ecc013e,1529062974266126336,Nrw9xYZo4Eedist,1513.0,602,よさこい＆メダルゲーム好きな社会人です。,埼玉県草加市,埼玉 さいたま市 中央区,city,日本,139.611910005412,35.8573359992678,139.649307998432,35.8990340026555,5339,533964,533931,2
752,752,752,224376,1373,これは残念でしたね😥嫁実家が上富良野なのでついでの距離じゃないけど行った時は肉眼でロシアが見えましたよ🤩,2022-07-07_14:49:40,0.0,0.0,0.0,0,3e66b296337fba6a,1213791228141002752,PcxtIGqkkbEbpqF,112.0,929,2018モデルのカマロSSに乗る普通のおっさん。毎日17時にはお家に居たいと舐めた事を思ってる普通のおっさん。1秒でも早く帰る為に全力で仕事を頑張るがんばり屋さん❤️ 車歴 レガシー→HCR32×2台→Z32→33シーマ→GTO→仕事用の車→カマロ,埼玉 松伏町,埼玉 松伏町,city,日本,139.802783,35.906003,139.849682,35.969402,5339,533966,533945,2
